"","floorspace","num_whole_rooms","num_half_rooms","price","num_rooms"
"1","88","4","0",52.9,4
"2","33","1","0",24.9,1
"3","50","2","0",39,2
"4","78","3","1",66.7,3.5
"5","50","2","0",41.5,2
"6","48","2","1",42,2.5
"7","54","2","0",30.9,2
"8","76","3","1",41.9,3.5
"9","66","2","1",59.9,2.5
"10","46","1","1",29.9,1.5
"11","66","1","2",57.9,2
"12","68","3","0",57.9,3
"13","46","1","1",36.9,1.5
"14","36","2","0",26.9,2
"15","79","4","0",44.7,4
"16","65","2","0",42.4,2
"17","65","1","2",51.9,2
"18","130","4","0",82.9,4
"19","54","1","2",41.9,2
"20","40","1","1",30.9,1.5
"21","33","1","0",22.5,1
"22","52","2","0",36.9,2
"23","50","2","0",34.5,2
"24","69","2","1",51.9,2.5
"25","94","3","0",69.9,3
"26","33","1","0",22.5,1
"27","50","2","0",35.9,2
"28","56","2","0",44.5,2
"29","38","1","1",26,1.5
"30","39","1","0",25.5,1
"31","81","4","0",54.9,4
"32","53","2","0",26.9,2
"33","97","4","0",74.9,4
"34","46","2","0",24.9,2
"35","104","3","1",48.5,3.5
"36","65","2","1",47,2.5
"37","74","2","1",63.9,2.5
"38","40","2","0",29.9,2
"39","46","2","0",25.9,2
"40","46","1","1",26,1.5
"41","81","2","1",94.9,2.5
"42","64","2","1",42.9,2.5
"43","40","1","1",26.9,1.5
"44","58","2","2",44.9,3
"45","98","2","2",84.9,3
"46","36","1","0",22.5,1
"47","53","2","0",37.9,2
"48","51","2","0",37.4,2
"49","55","2","0",43.9,2
"50","32","1","0",22,1
"51","47","1","1",34.2,1.5
"52","50","1","1",39.9,1.5
"53","66","3","0",68.8,3
"54","46","1","1",41.9,1.5
"55","87","2","1",54.9,2.5
"56","98","4","0",84.9,4
"57","56","2","0",42.9,2
"58","73","3","0",59.9,3
"59","28","1","0",26.3,1
"60","51","2","0",36.2,2
"61","34","1","0",29,1
"62","81","2","2",39.9,3
"63","52","2","0",32.9,2
"64","64","2","1",42.9,2.5
"65","64","2","0",53.9,2
"66","57","3","0",52,3
"67","62","2","1",47.9,2.5
"68","71","2","0",45.8,2
"69","34","1","0",19.4,1
"70","70","3","0",44.9,3
"71","29","1","0",24.9,1
"72","25","1","0",22.9,1
"73","68","3","0",48.9,3
"74","81","2","1",94.9,2.5
"75","37","2","0",30.5,2
"76","40","1","0",34,1
"77","78","3","1",66.7,3.5
"78","77","3","0",41.9,3
"79","54","1","0",50,1
"80","71","2","1",54.9,2.5
"81","52","2","1",46.5,2.5
"82","55","1","2",65.9,2
"83","66","2","2",41.5,3
"84","77","3","0",41.9,3
"85","26","1","0",18.9,1
"86","51","2","0",33.9,2
"87","48","2","0",35.5,2
"88","43","1","2",38.9,2
"89","93","3","2",48.9,4
"90","101","3","1",69,3.5
"91","57","3","0",37.9,3
"92","74","3","0",68,3
"93","32","1","0",23.9,1
"94","69","3","0",58,3
"95","29","1","0",18.9,1
"96","71","2","0",41.9,2
"97","85","3","1",49.9,3.5
"98","77","3","0",45,3
"99","52","2","0",58.5,2
"100","42","1","1",35,1.5
"101","54","2","0",37.5,2
"102","52","2","0",35.5,2
"103","95","3","0",67.9,3
"104","54","2","0",37.5,2
"105","74","3","0",64.9,3
"106","54","2","0",37.9,2
"107","39","2","0",31.9,2
"108","51","2","0",37.2,2
"109","50","2","0",38.5,2
"110","48","2","0",32.9,2
"111","58","2","0",33.5,2
"112","65","1","2",51.9,2
"113","39","1","1",32,1.5
"114","70","3","0",58,3
"115","173","1","5",135,3.5
"116","51","2","0",37.9,2
"117","56","2","0",46.2,2
"118","62","3","0",39.9,3
"119","46","1","1",27.2,1.5
"120","34","2","0",25.8,2
"121","42","2","0",33.5,2
"122","57","2","0",49.5,2
"123","85","3","1",64.9,3.5
"124","44","2","0",28.9,2
"125","37","1","1",26.5,1.5
"126","51","2","0",39.9,2
"127","72","2","1",38.9,2.5
"128","46","2","0",37.9,2
"129","46","2","0",26.5,2
"130","94","3","1",58,3.5
"131","49","2","0",29.9,2
"132","46","1","1",27.2,1.5
"133","70","1","2",54.9,2
"134","64","1","2",42.9,2
"135","65","3","0",46.5,3
"136","58","2","0",44.8,2
"137","52","2","0",41.9,2
"138","46","1","1",30,1.5
"139","54","2","0",32.9,2
"140","75","2","0",34,2
"141","46","1","1",34.9,1.5
"142","114","3","2",79.8,4
"143","59","3","0",40.9,3
"144","56","2","1",50,2.5
